code,lon,lat,name,city
PADK,-176.64603,51.877964,Adak,Adak I
PMDY,-177.379519,28.203672,Henderson Field,"Midway Atoll, Sand I"
UHMD,-173.246667,64.378334,Provideniya Bay,Provideniya Bay
PAAK,-174.20635,52.220347,Atka,Atka
NFTV,-173.969722,-18.585556,Vava'u,Vava'u
NFTL,-174.341333,-19.778,Ha'apai-Lifuka,Ha'apai-Lifuka Island
NFTF,-175.139639,-21.241056,Fua'amotu Intl,Nuku'alofa
PAGM,-171.732797,63.766628,Gambell,Gambell
PASA,-170.492636,63.686394,Savoonga,Savoonga
PASN,-170.220445,57.167333,St Paul I,St Paul I
PAPB,-169.663736,56.577075,St George,St George
NSFA,-171.997167,-13.829667,Faleolo Intl,Apia
NSTU,-170.711503,-14.331661,Pago Pago Intl,Pago Pago
NIUE,-169.926667,-19.077778,Niue Intl,Niue Island
PALU,-166.110022,68.875133,Cape Lisburne LRRS,Cape Lisburne
PASH,-166.089347,66.249567,Shishmaref,Shishmaref
PATC,-167.921656,65.563108,Tin City LRRS,Tin City
PAOM,-165.445247,64.512203,Nome,Nome
PACZ,-166.038747,61.780297,Cape Romanzof LRRS,Cape Romanzof
PAHP,-166.146781,61.524183,Hooper Bay,Hooper Bay
PAMY,-166.270608,60.371419,Mekoryuk,Mekoryuk
PADU,-166.5435,53.900139,Unalaska,Unalaska
PPIZ,-163.005342,69.732875,Point Lay,Point Lay
PAVL,-164.563497,67.736153,Kivalina,Kivalina
PAWN,-162.974969,67.566136,Noatak,Noatak
PAOT,-162.59855,66.884678,Wien Meml,Kotzebue
PADE,-162.766367,66.069561,Deering (New),Deering
PAEM,-164.491047,62.785186,Emmonak,Emmonak
PASM,-163.302111,62.060486,St Mary's,St Mary's
PABE,-161.837997,60.779778,Bethel,Bethel
PAKI,-164.030514,59.93295,Kipnuk,Kipnuk
PAQH,-161.87948,59.757008,Quinhagak,Quinhagak
PAEH,-162.062778,58.646428,Cape Newenham LRRS,Cape Newenham
PAPM,-161.819667,59.011356,Platinum,Platinum
PACD,-162.724258,55.205586,Cold Bay,Cold Bay
PAWI,-159.99475,70.638,Wainwright,Wainwright
PAIK,-160.436533,66.975953,Baker Meml,Kiana
PASK,-159.986195,66.600028,Selawik,Selawik
PABL,-161.149072,65.981567,Buckland,Buckland
PAKK,-161.158145,64.934042,Koyuk Alfred Adams,Koyuk
PAUN,-160.798953,63.888358,Unalakleet,Unalakleet
PANV,-160.190658,62.646733,Anvik,Anvik
PANI,-159.543047,61.581586,Aniak,Aniak
PATG,-160.396933,59.052842,Togiak,Togiak Village
PADL,-158.503339,59.045414,Dillingham,Dillingham
PAPH,-158.633361,56.9591,Port Heiden,Port Heiden
PAJC,-158.373236,56.311464,Chignik,Chignik
PASD,-160.517667,55.315,Sand Point,Sand Point
PHBK,-159.786656,22.021586,Barking Sands Pmrf,Kauai
PHLI,-159.338622,21.976097,Lihue,Lihue
PHHI,-158.039667,21.4835,Wheeler AAF,Wahiawa
PHJR,-158.070303,21.307353,Kalaeloa (John Rodgers Field),Kapolei
PHNG,-157.772222,21.454722,Kaneohe Bay MCAF,Mokapu
PHNL,-157.922408,21.318691,Honolulu Intl,Honolulu
NCPY,-158.036317,-9.006061,Tongareva,Penrhyn Island
NCAI,-159.764883,-18.830055,Avarua,Aitutaki
NCRG,-159.795,-21.200834,Rarotonga Intl,Rarotonga I
PABR,-156.766003,71.285447,Wiley Post-Will Rogers Meml,Barrow
PATQ,-157.435736,70.467275,Atqasuk Burnell Meml,Atqasuk
PAHL,-156.351139,65.697567,Huslia,Huslia
PAGA,-156.937414,64.736178,Pitka,Galena
PARY,-155.46987,64.727214,Ruby,Ruby
PAMC,-155.605764,62.952875,McGrath,McGrath
PASL,-157.16588,61.70052,Sleetmute,Sleetmute
PASV,-155.574228,61.09737,Sparrevohn LRRS,Sparrevohn
PAIL,-154.910961,59.7538,Iliamna,Iliamna
PAKN,-156.649217,58.676803,King Salmon,King Salmon
